date,label,Latitude,Longitude,notes_polarity,notes_subjectivity,comments_polarity,comments_subjectivity,best_season
193,2,47.45051,-120.35903,0.0,0.0,0.0,0.0,0
220,2,46.210088,-119.759287,0.0,0.0,0.2,0.2,1
235,2,47.62984,-120.68945,0.0,0.0,0.2,0.2,1
210,2,47.445464,-120.267607,0.0,0.0,0.2,0.2,0
197,2,47.143276,-119.852737,0.0,0.0,0.0,0.0,0
197,2,47.404011,-120.322677,0.0,0.0,0.0,0.0,0
198,2,47.5224,-120.47005,0.0,0.0,0.0,0.0,0
198,2,47.412753,-120.341665,0.0,0.0,0.0,0.0,0
201,2,46.215209,-117.397629,0.0,0.0,0.0,0.0,0
202,2,47.17964,-119.33367,0.0,0.0,0.0,0.0,0
202,2,47.17964,-119.33367,0.0,0.0,0.0,0.0,0
202,2,46.498939,-117.065335,0.0,0.0,0.0,0.0,0
202,2,47.540497,-120.281752,0.0,0.0,0.0,0.0,0
203,2,47.127385,-119.273195,0.0,0.0,0.0,0.0,0
203,2,46.3943,-117.020025,0.0,0.0,0.0,0.0,0
205,2,47.164724,-119.239163,0.0,0.0,0.0,0.0,0
198,2,47.751657,-117.428378,0.0,0.0,0.4375,0.65,0
203,2,47.503333,-122.192205,0.0,0.0,0.3,0.5,0
145,2,47.859524,-122.127766,0.0,0.0,0.10416666666666666,0.7152777777777777,0
157,2,45.654957,-122.677283,0.0,0.0,-0.2916666666666667,0.5416666666666666,0
147,2,48.872793,-122.316346,0.0,0.0,-0.10416666666666667,0.4939814814814814,0
167,2,47.666042,-117.288787,0.0,0.0,-0.5,1.0,0
106,2,48.823521,-122.32684,0.0,0.0,0.0,0.0,0
275,2,47.99346,-122.193876,0.0,0.0,0.0,0.0,1
199,2,47.831707,-122.348836,0.0,0.0,0.0,0.0,0
204,2,47.178671,-122.26112,0.0,0.0,0.0,0.0,0
276,2,48.919172,-122.638017,0.0,0.0,0.0,0.0,0
211,2,48.954759,-122.445135,0.0,0.0,0.2,0.2,0
226,2,47.640774,-117.381376,0.0,0.0,0.1,0.18333333333333335,1
225,2,47.032456,-122.897768,0.0,0.0,0.25,0.35,1
